datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual	ms_analytic	pan_analytic	data-mask	proj:code
2024-06-11 07:19:46+00:00	WV03	0.37	0.0.1	104001009713BA00	38	300200022031	25.7	233.8	61.5	34.3	46.8	32738.0	MXRA-Z38-300200022031	518548.93281287584,8584843.75,520156.25,8590156.25	8.5	0.8	9	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022031/2024-06-11/104001009713BA00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022031/2024-06-11/104001009713BA00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022031/2024-06-11/104001009713BA00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022031/2024-06-11/104001009713BA00-data-mask.gpkg	
2024-06-11 07:19:46+00:00	WV03	0.37	0.0.1	104001009713BA00	38	300200022120	25.8	359.1	61.5	34.3	46.8	32738.0	MXRA-Z38-300200022120	519843.75,8584843.75,522591.552734375,8590156.25	14.5	0.4	2	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022120/2024-06-11/104001009713BA00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022120/2024-06-11/104001009713BA00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022120/2024-06-11/104001009713BA00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022120/2024-06-11/104001009713BA00-data-mask.gpkg	
2024-06-11 07:19:47+00:00	WV03	0.37	0.0.1	104001009713BA00	38	300200022300	25.9	358.8	61.4	34.2	46.7	32738.0	MXRA-Z38-300200022300	519843.75,8579732.667087682,522592.2117512537,8580156.25	1.1	0.2	19	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022300/2024-06-11/104001009713BA00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022300/2024-06-11/104001009713BA00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022300/2024-06-11/104001009713BA00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/38/300200022300/2024-06-11/104001009713BA00-data-mask.gpkg	
2024-06-16 06:59:38+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311013230	20.2	24.7	67.8	35.6	46.3	32739.0	MXRA-Z39-211311013230	310555.4597032737,8644843.75,315156.25,8647863.155903654	13.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013230/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013230/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013230/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013230/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:38+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311013231	20.0	23.7	67.9	35.6	46.3	32739.0	MXRA-Z39-211311013231	314843.75,8644843.75,320003.03819399164,8647893.679881725	15.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013231/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013231/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013231/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013231/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:39+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311013232	20.2	24.4	67.8	35.5	46.3	32739.0	MXRA-Z39-211311013232	310578.30810546875,8639843.75,315156.25,8645156.25	24.2	0.9	3	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013232/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013232/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013232/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013232/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:39+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311013233	20.0	23.4	68.0	35.5	46.3	32739.0	MXRA-Z39-211311013233	314843.75,8639843.75,320033.7617745731,8645156.25	27.4	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013233/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013233/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013233/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013233/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:39+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311013322	19.8	22.3	68.2	35.5	46.3	32739.0	MXRA-Z39-211311013322	319843.75,8639843.75,320033.7617745731,8645156.25	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013322/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013322/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013322/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311013322/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:40+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311031010	20.1	24.2	67.8	35.5	46.3	32739.0	MXRA-Z39-211311031010	310602.4169921875,8635908.761488704,315156.25,8640156.25	19.2	0.8	4	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031010/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031010/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031010/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031010/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:40+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311031011	20.0	23.2	68.0	35.5	46.3	32739.0	MXRA-Z39-211311031011	314843.75,8635935.617520472,320057.57183304586,8640156.25	21.8	1.0	4	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031011/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031011/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031011/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031011/2024-06-16/1040010096411F00-data-mask.gpkg	
2024-06-16 06:59:40+00:00	WV03	0.34	0.0.1	1040010096411F00	39	211311031100	19.8	22.1	68.2	35.5	46.3	32739.0	MXRA-Z39-211311031100	319843.75,8635967.503036745,320057.57183304586,8640156.25	0.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031100/2024-06-16/1040010096411F00-visual.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031100/2024-06-16/1040010096411F00-ms.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031100/2024-06-16/1040010096411F00-pan.tif	https://maxar-opendata.s3.amazonaws.com/events/Cyclone-Chido-Dec15/ard/39/211311031100/2024-06-16/1040010096411F00-data-mask.gpkg	
